,genero,edad,ciudad,fecha_registro,fecha_pedido,nombre_restaurante,nombre_plato,categoria,cantidad,precio,metodo_pago,frecuencia_pedidos,fecha_ultimo_pedido,puntos_fidelidad,abandono,calificacion,fecha_calificacion,estado_entrega
17,Female,Senior,Islamabad,2024-12-30,2023-08-25,KFC,Burger,Chinese,2,330.93,Cash,45,2025-07-17,455,Active,2,2024-11-28,Cancelled
18,Other,Teenager,Peshawar,2024-05-08,2023-08-25,Subway,Pasta,Fast Food,2,991.17,Wallet,6,2025-04-22,101,Active,2,2025-03-27,Cancelled
19,Female,Adult,Lahore,2023-05-10,2023-08-25,Subway,Pasta,Chinese,1,1485.16,Card,46,2025-04-24,171,Inactive,3,2025-05-08,Delayed
20,Female,Adult,Lahore,2024-08-30,2023-08-25,Subway,Sandwich,Italian,2,802.12,Wallet,22,2024-09-15,32,Inactive,4,2025-11-06,Cancelled
21,Female,Teenager,Lahore,2024-02-25,2023-08-25,Pizza Hut,Sandwich,Italian,1,1394.47,Cash,13,2025-06-16,273,Inactive,2,2025-07-20,Delayed
22,Male,Teenager,Multan,2024-09-28,2023-08-25,Pizza Hut,Pizza,Italian,3,1287.69,Wallet,49,2025-05-06,35,Active,4,2024-10-11,Delivered
23,Other,Adult,Lahore,2025-01-26,2023-08-25,Burger King,Pasta,Continental,5,785.37,Card,49,2024-10-21,463,Active,2,2025-05-19,Delivered
24,Other,Teenager,Karachi,2024-07-07,2023-08-25,Pizza Hut,Fries,Dessert,2,1304.8,Cash,2,2024-01-12,435,Inactive,1,2024-11-29,Cancelled
25,Female,Teenager,Peshawar,2023-11-27,2023-08-26,KFC,Fries,Continental,1,599.7,Wallet,35,2025-06-26,172,Active,4,2024-10-11,Delayed
26,Male,Adult,Lahore,2025-05-25,2023-08-26,McDonald's,Burger,Continental,3,1065.15,Cash,38,2024-12-13,250,Inactive,2,2025-04-18,Cancelled
27,Male,Teenager,Lahore,2024-06-29,2023-08-26,McDonald's,Pasta,Chinese,5,576.33,Card,7,2025-03-05,60,Active,3,2025-03-06,Cancelled
28,Female,Adult,Karachi,2024-06-16,2023-08-26,KFC,Fries,Chinese,3,761.47,Card,3,2025-08-01,240,Inactive,2,2024-11-29,Delivered
29,Female,Senior,Islamabad,2023-07-11,2023-08-26,KFC,Pizza,Italian,5,1267.2,Card,32,2024-10-11,72,Active,5,2024-10-21,Delayed
30,Male,Teenager,Islamabad,2025-07-20,2023-08-26,KFC,Pizza,Continental,3,1044.89,Card,31,2024-09-15,496,Inactive,2,2024-12-27,Delayed
31,Female,Senior,Islamabad,2023-11-22,2023-08-26,Burger King,Pizza,Chinese,4,343.52,Card,34,2024-09-29,164,Active,3,2025-01-25,Delivered
32,Male,Senior,Multan,2025-07-07,2023-08-26,Burger King,Sandwich,Continental,2,209.77,Cash,16,2024-11-20,453,Active,3,2024-04-09,Cancelled
33,Other,Teenager,Peshawar,2025-02-07,2023-08-26,Subway,Pasta,Chinese,3,1052.17,Cash,12,2025-04-21,14,Inactive,3,2025-08-02,Delayed
34,Female,Adult,Islamabad,2025-01-07,2023-08-26,McDonald's,Pizza,Italian,2,1030.25,Wallet,5,2025-06-26,273,Active,1,2025-05-02,Cancelled
35,Other,Adult,Peshawar,2024-10-03,2023-08-26,Subway,Sandwich,Italian,5,909.48,Wallet,3,2025-07-28,224,Inactive,3,2025-05-25,Cancelled
36,Male,Teenager,Multan,2025-05-03,2023-08-26,Pizza Hut,Sandwich,Italian,3,192.88,Wallet,26,2025-03-06,18,Active,3,2025-01-13,Cancelled
37,Female,Senior,Lahore,2023-04-12,2023-08-26,McDonald's,Burger,Chinese,2,1471.81,Wallet,25,2024-12-27,444,Active,3,2025-06-14,Delivered
38,Other,Adult,Lahore,2023-12-31,2023-08-26,Subway,Pizza,Italian,1,956.03,Card,39,2025-04-19,167,Inactive,5,2025-04-01,Delivered
39,Male,Senior,Multan,2025-01-20,2023-08-27,Pizza Hut,Pizza,Dessert,3,222.14,Wallet,4,2025-03-25,148,Inactive,2,2025-01-01,Delayed
40,Other,Adult,Lahore,2024-05-24,2023-08-27,Burger King,Pasta,Italian,2,522.0,Cash,12,2025-03-30,246,Inactive,3,2024-09-20,Delayed
41,Male,Teenager,Islamabad,2024-03-25,2023-08-27,Pizza Hut,Pizza,Italian,3,795.3,Card,15,2025-02-06,179,Inactive,4,2025-01-13,Delayed
42,Other,Teenager,Multan,2024-02-26,2023-08-27,Subway,Burger,Chinese,3,768.49,Wallet,40,2024-12-23,495,Inactive,5,2025-06-01,Delivered
43,Female,Teenager,Multan,2025-07-18,2023-08-27,KFC,Fries,Chinese,2,198.12,Card,7,2025-01-31,13,Inactive,3,2025-06-27,Cancelled
44,Other,Teenager,Islamabad,2024-08-15,2023-08-27,KFC,Fries,Chinese,1,196.28,Card,22,2025-08-17,378,Inactive,4,2025-04-03,Delivered
45,Other,Teenager,Lahore,2024-07-01,2023-08-27,Subway,Burger,Continental,1,364.91,Card,1,2025-06-05,98,Active,5,2025-08-18,Delayed
46,Female,Senior,Multan,2023-11-27,2023-08-27,McDonald's,Sandwich,Italian,5,275.53,Cash,7,2024-06-12,138,Active,2,2025-06-22,Delivered
47,Other,Teenager,Karachi,2023-04-12,2023-08-27,KFC,Pizza,Italian,1,249.9,Cash,20,2025-03-22,70,Inactive,1,2025-07-20,Delayed
48,Other,Adult,Karachi,2024-10-11,2023-08-27,Subway,Sandwich,Continental,4,1226.08,Cash,32,2025-06-02,372,Active,4,2025-06-18,Delivered
49,Female,Adult,Lahore,2023-09-10,2023-08-28,Subway,Fries,Continental,3,1120.65,Card,46,2024-02-12,453,Active,4,2025-08-19,Cancelled
50,Other,Senior,Multan,2024-07-11,2023-08-28,Subway,Sandwich,Fast Food,3,1056.2,Card,26,2024-10-14,116,Active,5,2025-02-16,Cancelled
51,Female,Adult,Peshawar,2025-01-16,2023-08-28,Burger King,Burger,Continental,3,931.02,Wallet,30,2025-10-07,211,Inactive,3,2025-03-18,Delayed
52,Other,Senior,Lahore,2024-02-12,2023-08-28,Pizza Hut,Pizza,Fast Food,2,1431.45,Wallet,15,2025-04-05,190,Inactive,4,2024-08-10,Cancelled
53,Male,Adult,Multan,2024-04-17,2023-08-28,KFC,Pizza,Italian,5,167.62,Card,13,2024-08-09,388,Active,4,2024-07-11,Delivered
54,Male,Adult,Islamabad,2024-10-22,2023-08-28,Subway,Pasta,Chinese,2,118.82,Card,12,2025-10-05,87,Active,1,2024-09-14,Cancelled
55,Female,Adult,Karachi,2024-10-08,2023-08-29,Pizza Hut,Pasta,Fast Food,1,492.46,Cash,10,2025-01-16,383,Active,1,2024-09-09,Delivered
56,Male,Teenager,Multan,2023-11-28,2023-08-29,Pizza Hut,Pasta,Chinese,5,1275.96,Card,28,2024-09-11,312,Inactive,2,2024-12-29,Delivered
57,Male,Teenager,Multan,2024-03-06,2023-08-29,McDonald's,Sandwich,Chinese,1,1462.99,Wallet,36,2025-03-26,316,Inactive,4,2024-11-30,Cancelled
58,Female,Adult,Karachi,2025-02-19,2023-08-29,McDonald's,Pasta,Chinese,2,1221.24,Cash,13,2025-12-02,286,Active,4,2025-03-15,Cancelled
59,Male,Adult,Multan,2023-03-09,2023-08-29,McDonald's,Pasta,Fast Food,1,1033.71,Card,47,2024-08-30,4,Active,2,2024-12-24,Delivered
60,Female,Adult,Islamabad,2024-10-30,2023-08-30,Burger King,Pizza,Continental,4,299.44,Cash,27,2025-06-02,480,Inactive,3,2024-01-12,Delivered
61,Other,Senior,Islamabad,2024-06-07,2023-08-30,Pizza Hut,Pasta,Dessert,3,1310.72,Wallet,41,2025-07-08,47,Active,3,2024-11-20,Cancelled
62,Male,Teenager,Islamabad,2025-07-19,2023-08-30,KFC,Pizza,Italian,4,343.94,Cash,20,2025-01-27,389,Active,3,2024-11-20,Cancelled
63,Other,Senior,Karachi,2024-11-27,2023-08-30,Subway,Pizza,Continental,1,1416.38,Wallet,27,2024-05-11,25,Inactive,3,2025-06-28,Cancelled
64,Other,Adult,Islamabad,2024-03-08,2023-08-30,Pizza Hut,Fries,Dessert,3,622.55,Cash,32,2024-08-26,92,Active,3,2025-05-15,Delayed
65,Other,Teenager,Islamabad,2024-08-05,2023-08-30,Burger King,Burger,Chinese,3,266.63,Wallet,13,2024-09-14,429,Active,2,2025-05-25,Cancelled
66,Other,Adult,Peshawar,2025-09-03,2023-08-30,KFC,Fries,Continental,4,1052.03,Cash,44,2025-04-16,107,Inactive,4,2025-12-03,Delivered
67,Other,Adult,Peshawar,2023-12-19,2023-08-30,McDonald's,Burger,Italian,3,519.94,Card,30,2024-08-10,195,Active,1,2025-08-02,Delivered
68,Female,Adult,Islamabad,2025-01-22,2023-08-30,Burger King,Pizza,Italian,2,1296.57,Card,16,2024-12-13,31,Inactive,3,2025-03-13,Cancelled
69,Other,Teenager,Lahore,2024-06-20,2023-08-31,Subway,Sandwich,Continental,5,575.25,Card,8,2025-04-15,168,Active,1,2025-06-05,Cancelled
70,Female,Teenager,Lahore,2025-04-27,2023-08-31,Pizza Hut,Pasta,Dessert,3,1487.08,Cash,2,2024-09-17,205,Active,5,2024-09-13,Delivered
71,Female,Teenager,Peshawar,2024-11-01,2023-08-31,Burger King,Pizza,Chinese,1,1071.22,Cash,5,2025-06-15,56,Inactive,5,2024-11-10,Delivered
72,Other,Senior,Lahore,2024-10-14,2023-08-31,Pizza Hut,Burger,Fast Food,2,181.27,Cash,12,2024-08-28,364,Inactive,5,2024-11-20,Cancelled
73,Female,Senior,Peshawar,2024-11-08,2023-08-31,KFC,Burger,Fast Food,1,397.47,Wallet,5,2025-12-04,180,Active,1,2025-10-06,Cancelled
74,Female,Senior,Lahore,2023-09-13,2023-08-31,Pizza Hut,Fries,Chinese,5,1475.86,Card,13,2025-07-13,59,Active,4,2025-09-02,Cancelled
75,Other,Teenager,Peshawar,2023-09-23,2023-08-31,McDonald's,Pizza,Italian,4,1143.99,Wallet,26,2024-09-26,323,Inactive,4,2025-03-24,Delivered
76,Other,Senior,Islamabad,2024-02-14,2023-08-31,KFC,Fries,Chinese,1,1492.84,Wallet,50,2025-03-28,423,Active,1,2025-09-02,Cancelled
77,Other,Adult,Islamabad,2025-10-06,2023-01-09,KFC,Pasta,Italian,3,101.29,Wallet,28,2025-01-17,468,Inactive,3,2025-07-02,Delivered
78,Other,Teenager,Karachi,2025-05-06,2023-01-09,Burger King,Pasta,Fast Food,2,528.24,Cash,24,2025-08-02,149,Inactive,4,2024-08-24,Delayed
79,Female,Teenager,Peshawar,2023-11-17,2023-01-09,McDonald's,Burger,Continental,3,716.53,Card,3,2025-02-20,432,Inactive,1,2024-09-17,Cancelled
80,Male,Senior,Peshawar,2025-02-08,2023-01-09,Subway,Pasta,Fast Food,3,1135.18,Cash,2,2024-01-10,113,Active,2,2024-11-29,Cancelled
81,Other,Adult,Multan,2024-12-29,2023-01-09,Burger King,Fries,Chinese,2,388.86,Cash,31,2024-01-09,39,Inactive,3,2024-05-10,Cancelled
82,Other,Teenager,Islamabad,2024-03-25,2023-01-09,Subway,Pasta,Dessert,5,362.35,Cash,23,2025-02-28,309,Active,5,2025-03-01,Delayed
83,Male,Adult,Multan,2024-12-18,2023-01-09,Burger King,Sandwich,Continental,4,172.76,Wallet,23,2025-05-18,356,Inactive,5,2025-01-25,Delivered
84,Male,Senior,Lahore,2025-02-05,2023-02-09,Burger King,Sandwich,Chinese,3,184.12,Card,41,2025-02-23,491,Inactive,4,2025-02-02,Cancelled
85,Other,Adult,Peshawar,2024-08-23,2023-02-09,Pizza Hut,Fries,Italian,3,124.6,Card,26,2025-06-05,297,Inactive,2,2024-11-28,Cancelled
86,Other,Teenager,Lahore,2025-07-26,2023-02-09,McDonald's,Pizza,Dessert,4,664.08,Cash,20,2025-10-04,354,Inactive,3,2025-09-04,Cancelled
87,Female,Senior,Peshawar,2024-01-23,2023-02-09,Pizza Hut,Pizza,Continental,1,1465.02,Card,45,2025-04-07,420,Active,1,2025-02-20,Delivered
88,Female,Adult,Peshawar,2023-10-27,2023-02-09,Subway,Pizza,Continental,2,158.21,Cash,8,2024-12-27,321,Active,3,2025-12-02,Delayed
89,Other,Adult,Peshawar,2024-11-06,2023-02-09,Pizza Hut,Pizza,Continental,2,949.78,Card,46,2025-04-14,435,Active,1,2025-08-14,Cancelled
90,Male,Teenager,Peshawar,2024-09-05,2023-02-09,McDonald's,Pasta,Continental,1,1047.07,Wallet,50,2025-01-29,328,Inactive,2,2024-01-09,Delayed
91,Male,Adult,Islamabad,2025-05-25,2023-02-09,KFC,Pizza,Dessert,2,1491.88,Cash,44,2025-12-03,330,Active,5,2024-07-09,Delayed
92,Other,Senior,Multan,2025-10-04,2023-02-09,KFC,Pizza,Italian,4,1014.28,Card,41,2025-07-22,0,Active,1,2025-01-23,Delivered
93,Male,Teenager,Lahore,2024-09-13,2023-02-09,Subway,Burger,Fast Food,2,941.02,Wallet,5,2025-07-18,468,Active,1,2025-02-27,Delivered
94,Other,Senior,Islamabad,2023-12-29,2023-03-09,Subway,Pasta,Chinese,1,1187.79,Cash,41,2025-05-07,22,Inactive,2,2024-12-13,Cancelled
95,Other,Senior,Multan,2025-03-30,2023-03-09,McDonald's,Pizza,Chinese,3,1201.49,Cash,37,2025-04-30,293,Active,1,2024-11-30,Delayed
96,Female,Senior,Islamabad,2024-03-15,2023-03-09,Pizza Hut,Pizza,Dessert,4,579.72,Wallet,40,2025-07-14,170,Inactive,3,2025-06-02,Delayed
97,Other,Adult,Peshawar,2025-06-06,2023-03-09,KFC,Burger,Chinese,4,599.35,Cash,3,2025-08-04,322,Inactive,2,2025-01-15,Cancelled
98,Male,Senior,Peshawar,2024-07-02,2023-03-09,Burger King,Pasta,Fast Food,4,1418.27,Wallet,14,2025-05-18,291,Inactive,3,2025-10-02,Cancelled
99,Female,Adult,Lahore,2024-08-11,2023-03-09,Subway,Pasta,Continental,2,1174.62,Card,50,2025-11-02,64,Active,5,2025-03-24,Cancelled
100,Other,Teenager,Islamabad,2024-10-22,2023-03-09,KFC,Fries,Continental,4,213.52,Cash,50,2025-01-22,24,Active,3,2024-12-14,Cancelled
101,Male,Senior,Islamabad,2024-04-27,2023-04-09,KFC,Fries,Chinese,3,566.9,Wallet,22,2025-03-27,387,Active,3,2025-02-22,Cancelled
102,Other,Teenager,Lahore,2024-05-15,2023-04-09,Burger King,Pasta,Italian,3,881.71,Wallet,16,2025-06-25,26,Active,2,2024-11-20,Cancelled
103,Other,Adult,Multan,2023-01-11,2023-04-09,Subway,Fries,Chinese,3,1142.45,Wallet,9,2024-08-09,397,Inactive,1,2025-03-20,Delayed
104,Male,Teenager,Islamabad,2024-12-28,2023-04-09,McDonald's,Fries,Continental,3,734.85,Card,48,2024-09-21,245,Active,4,2024-10-17,Delivered
105,Female,Teenager,Lahore,2024-01-27,2023-04-09,Subway,Pasta,Fast Food,4,1303.08,Wallet,19,2025-09-07,62,Active,1,2025-08-04,Delayed
106,Female,Adult,Peshawar,2025-05-05,2023-04-09,Subway,Pizza,Italian,2,526.39,Wallet,7,2025-06-22,83,Inactive,1,2025-04-04,Delayed
107,Male,Teenager,Islamabad,2024-11-02,2023-04-09,Pizza Hut,Sandwich,Fast Food,3,897.81,Cash,15,2025-08-14,193,Active,5,2025-06-19,Cancelled
108,Other,Senior,Multan,2024-03-16,2023-05-09,Subway,Burger,Chinese,4,949.24,Card,21,2025-06-15,264,Active,2,2024-11-21,Cancelled
109,Male,Teenager,Lahore,2024-07-21,2023-05-09,Subway,Fries,Italian,5,904.16,Card,10,2025-02-20,118,Inactive,4,2025-03-02,Delayed
110,Other,Senior,Islamabad,2023-10-12,2023-05-09,Subway,Pizza,Continental,4,321.23,Wallet,32,2025-03-17,145,Inactive,2,2025-06-06,Delivered
111,Other,Teenager,Multan,2024-10-30,2023-05-09,McDonald's,Fries,Fast Food,4,1071.49,Card,39,2025-04-06,1,Active,2,2025-02-15,Delayed
112,Male,Adult,Multan,2023-08-26,2023-05-09,Burger King,Fries,Dessert,3,465.28,Wallet,4,2025-06-06,71,Active,4,2025-06-15,Delivered
113,Male,Teenager,Peshawar,2024-11-13,2023-05-09,Pizza Hut,Pizza,Continental,3,141.58,Wallet,30,2024-05-09,363,Active,2,2025-04-27,Delivered
114,Female,Senior,Peshawar,2025-12-04,2023-05-09,Pizza Hut,Pizza,Continental,5,699.7,Cash,20,2024-09-16,183,Active,3,2025-07-24,Delivered
115,Male,Teenager,Islamabad,2025-01-17,2023-06-09,McDonald's,Sandwich,Continental,3,1428.01,Cash,50,2024-10-10,185,Active,4,2025-05-21,Cancelled
116,Other,Adult,Lahore,2025-05-20,2023-06-09,KFC,Fries,Italian,5,218.68,Wallet,26,2024-07-12,249,Active,4,2025-10-03,Delivered
117,Other,Adult,Multan,2023-06-10,2023-06-09,Pizza Hut,Burger,Dessert,4,395.88,Card,37,2024-11-11,113,Inactive,3,2025-04-16,Delayed
118,Female,Teenager,Islamabad,2024-10-13,2023-06-09,Burger King,Sandwich,Dessert,2,235.82,Wallet,28,2025-08-16,452,Inactive,1,2024-08-25,Delayed
119,Female,Senior,Lahore,2024-03-18,2023-06-09,KFC,Sandwich,Italian,5,626.86,Card,47,2025-03-28,117,Inactive,4,2025-03-21,Delayed
120,Other,Adult,Peshawar,2025-10-08,2023-06-09,McDonald's,Fries,Dessert,3,667.31,Cash,22,2024-12-29,375,Active,3,2024-09-15,Delivered
121,Male,Adult,Multan,2024-12-18,2023-06-09,KFC,Sandwich,Dessert,2,893.55,Cash,17,2024-10-21,497,Inactive,3,2024-11-20,Delayed
122,Female,Adult,Karachi,2025-01-31,2023-06-09,Subway,Pasta,Italian,1,368.03,Cash,25,2024-12-19,83,Inactive,4,2024-12-21,Delayed
123,Male,Teenager,Karachi,2025-06-04,2023-07-09,KFC,Fries,Fast Food,1,708.22,Cash,39,2025-01-19,441,Active,5,2024-12-09,Delayed
124,Male,Teenager,Multan,2024-10-08,2023-07-09,Burger King,Burger,Fast Food,3,892.81,Cash,25,2025-02-07,335,Inactive,4,2025-02-20,Cancelled
125,Other,Teenager,Lahore,2024-12-04,2023-07-09,Burger King,Burger,Continental,4,1043.78,Card,6,2025-04-15,114,Active,2,2025-05-06,Delayed
126,Other,Senior,Islamabad,2025-05-28,2023-07-09,Burger King,Fries,Italian,5,162.05,Wallet,27,2025-01-24,271,Inactive,2,2025-09-06,Cancelled
127,Other,Teenager,Peshawar,2024-03-07,2023-07-09,McDonald's,Pasta,Italian,4,792.08,Card,19,2024-09-21,296,Inactive,4,2024-09-13,Delivered
128,Female,Teenager,Islamabad,2025-06-02,2023-07-09,KFC,Pasta,Dessert,5,1356.66,Card,30,2024-11-13,470,Inactive,4,2024-07-11,Cancelled
129,Male,Senior,Karachi,2024-08-19,2023-07-09,KFC,Pizza,Italian,1,820.53,Card,18,2025-05-24,402,Inactive,1,2025-08-21,Delivered
130,Female,Adult,Multan,2025-06-27,2023-07-09,KFC,Burger,Fast Food,2,1115.36,Card,9,2024-10-20,294,Active,2,2025-04-30,Delayed
131,Male,Senior,Lahore,2025-04-27,2023-07-09,KFC,Pasta,Chinese,3,1186.98,Card,11,2025-12-04,134,Inactive,2,2025-08-07,Cancelled
132,Male,Teenager,Multan,2025-06-26,2023-07-09,Burger King,Fries,Continental,2,1215.67,Wallet,8,2025-06-29,186,Inactive,4,2024-12-27,Delivered
133,Male,Teenager,Peshawar,2025-05-17,2023-07-09,Burger King,Pizza,Chinese,2,614.0,Card,21,2025-05-03,52,Active,3,2024-05-11,Cancelled
134,Male,Adult,Peshawar,2024-10-18,2023-08-09,Burger King,Sandwich,Chinese,2,212.59,Cash,26,2025-06-26,302,Active,1,2024-09-20,Delivered
135,Male,Senior,Lahore,2024-01-03,2023-08-09,Subway,Fries,Continental,3,1097.28,Card,20,2024-09-22,22,Active,5,2024-11-30,Delayed
136,Female,Adult,Multan,2024-05-16,2023-08-09,Subway,Sandwich,Continental,2,1033.59,Card,1,2025-01-16,255,Active,1,2024-06-10,Delayed
137,Female,Senior,Islamabad,2024-01-07,2023-09-09,Burger King,Burger,Fast Food,4,466.04,Cash,27,2024-09-25,169,Inactive,1,2025-10-04,Cancelled
138,Other,Teenager,Lahore,2024-02-27,2023-09-09,KFC,Burger,Chinese,2,724.91,Cash,18,2024-04-12,438,Inactive,4,2025-03-23,Cancelled
139,Male,Adult,Multan,2025-02-22,2023-09-09,Burger King,Burger,Fast Food,3,1128.96,Card,12,2025-08-17,487,Active,3,2025-05-13,Cancelled
140,Male,Teenager,Karachi,2025-07-04,2023-09-09,Pizza Hut,Fries,Italian,5,122.84,Cash,43,2025-05-24,104,Active,5,2025-03-29,Delivered
141,Male,Senior,Lahore,2023-11-29,2023-09-09,Subway,Fries,Continental,3,440.0,Wallet,11,2024-12-23,497,Active,3,2025-01-13,Delivered
142,Male,Adult,Karachi,2024-06-22,2023-09-09,Burger King,Sandwich,Chinese,2,1207.62,Wallet,46,2025-02-22,91,Active,2,2025-03-13,Delivered
143,Female,Adult,Peshawar,2025-03-20,2023-09-09,McDonald's,Pizza,Continental,3,1147.65,Wallet,45,2025-04-15,353,Active,4,2024-12-12,Delivered
144,Other,Adult,Peshawar,2023-08-31,2023-09-09,Pizza Hut,Sandwich,Continental,5,1203.99,Wallet,1,2025-04-17,106,Inactive,4,2025-02-07,Delayed
145,Female,Teenager,Karachi,2024-06-30,2023-09-09,McDonald's,Burger,Chinese,2,1417.09,Card,46,2025-01-01,355,Active,3,2025-05-03,Cancelled
146,Male,Teenager,Karachi,2024-06-21,2023-09-09,Pizza Hut,Fries,Italian,5,1010.15,Cash,25,2025-08-03,461,Active,3,2025-07-16,Cancelled
147,Other,Teenager,Peshawar,2025-03-25,2023-10-09,KFC,Sandwich,Italian,4,589.82,Cash,28,2024-11-12,162,Inactive,2,2025-07-08,Delivered
148,Female,Senior,Karachi,2025-01-20,2023-10-09,KFC,Pizza,Fast Food,1,394.08,Card,1,2025-06-02,169,Inactive,4,2024-12-14,Delayed
149,Male,Senior,Multan,2025-01-30,2023-10-09,McDonald's,Sandwich,Italian,4,1460.35,Card,9,2025-04-19,315,Active,5,2025-01-25,Cancelled
150,Other,Senior,Lahore,2023-09-25,2023-10-09,Subway,Pasta,Fast Food,5,1397.42,Card,18,2024-08-27,36,Active,2,2025-11-03,Cancelled
151,Other,Adult,Lahore,2023-03-10,2023-10-09,Burger King,Sandwich,Italian,3,257.86,Wallet,47,2025-01-25,327,Inactive,5,2025-07-27,Cancelled
152,Female,Adult,Karachi,2023-12-26,2023-10-09,McDonald's,Burger,Fast Food,3,882.75,Wallet,16,2025-01-28,13,Active,4,2024-08-10,Delayed
153,Male,Teenager,Multan,2024-10-05,2023-10-09,Burger King,Pasta,Dessert,5,689.01,Card,3,2025-08-03,189,Inactive,3,2024-12-20,Cancelled
154,Male,Adult,Lahore,2023-09-24,2023-10-09,Subway,Pasta,Continental,2,1452.79,Cash,30,2024-06-10,382,Active,4,2025-12-04,Cancelled
155,Other,Teenager,Islamabad,2024-11-16,2023-10-09,Subway,Pasta,Chinese,3,460.45,Card,40,2024-11-23,4,Active,4,2025-03-05,Cancelled
156,Male,Senior,Lahore,2025-01-26,2023-10-09,Burger King,Pasta,Continental,3,648.85,Card,36,2025-08-19,289,Inactive,5,2025-07-07,Delivered
157,Male,Senior,Multan,2023-09-30,2023-10-09,Subway,Fries,Continental,1,512.77,Cash,18,2025-01-01,434,Inactive,1,2025-01-14,Cancelled
158,Other,Adult,Islamabad,2025-04-08,2023-11-09,Burger King,Burger,Italian,3,1443.13,Card,1,2024-04-12,0,Inactive,1,2025-07-16,Delayed
159,Male,Adult,Karachi,2025-06-03,2023-11-09,Burger King,Sandwich,Continental,3,191.26,Card,33,2024-09-17,393,Inactive,2,2025-04-05,Cancelled
160,Female,Senior,Karachi,2025-03-07,2023-11-09,Pizza Hut,Pasta,Fast Food,1,309.02,Card,2,2024-08-31,477,Active,5,2025-03-23,Cancelled
161,Other,Senior,Karachi,2024-07-16,2023-11-09,Pizza Hut,Burger,Dessert,3,465.95,Card,38,2024-10-26,275,Inactive,4,2024-10-13,Cancelled
162,Other,Senior,Islamabad,2025-06-24,2023-11-09,McDonald's,Pasta,Fast Food,5,749.95,Card,38,2025-04-03,84,Active,2,2024-10-18,Delayed
163,Other,Teenager,Lahore,2025-03-30,2023-11-09,Pizza Hut,Pizza,Chinese,5,365.02,Cash,49,2024-09-25,296,Inactive,4,2025-03-27,Cancelled
164,Other,Teenager,Multan,2024-08-24,2023-11-09,KFC,Sandwich,Dessert,5,172.45,Cash,6,2025-07-01,338,Active,5,2025-03-13,Cancelled
