,temp_ambiente,presion_ambiente,humedad_ambiente,diferencia_presion_filtro_aire,presion_escape_turbina,temperatura_entrada_turbina,temperatura_salida_turbina,presion_descarga_comprensor,monoxido_carbono,oxido_nitrogeno,rendimiento_turbina
35951,8.1839,1024.1,80.956,2.5457,21.323,1063.6,550.24,11.149,2.543,71.778,122.26
16369,8.7631,1014.6,92.246,3.5629,28.264,1092.6,539.18,12.96,1.1627,73.242,149.17
18705,24.726,1005.3,77.41,4.0672,25.507,1090.2,549.86,12.037,6.0874,61.0,133.1
11821,21.497,1010.8,81.219,4.1309,28.448,1089.3,538.98,12.77,0.66452,56.577,141.98
9402,15.264,1015.1,80.554,4.5436,24.33,1085.9,550.05,11.839,1.3357,71.936,132.78
30906,14.704,1016.5,85.415,3.6592,25.503,1079.6,550.05,11.993,1.3472,62.216,134.46
27566,19.298,1006.3,83.152,3.7815,24.303,1077.1,549.97,11.783,1.7153,54.406,129.89
13945,16.293,1020.8,71.068,4.0121,24.516,1088.3,549.86,11.832,2.0327,76.334,133.65
431,10.381,998.32,100.15,4.8953,24.338,1083.8,549.77,11.769,1.6926,74.478,133.57
29799,18.866,1011.1,70.328,3.5743,25.837,1081.0,550.04,12.07,0.78765,63.911,134.38
9777,14.656,1009.5,73.495,4.8445,25.939,1094.9,549.52,12.311,1.1779,76.176,141.09
21610,14.587,1021.1,88.05,3.2098,24.703,1087.2,549.83,11.924,1.5195,64.667,133.59
1194,11.523,1024.4,88.089,4.3647,22.037,1069.2,548.48,11.221,2.4251,76.116,122.78
24780,17.01,1012.1,73.478,3.2912,23.978,1075.5,550.21,11.691,2.5227,55.152,129.75
14306,10.774,1025.2,75.761,3.6899,21.996,1074.9,550.07,11.286,2.0516,83.65,125.66
18500,19.878,1009.9,81.07,3.8216,24.9,1087.7,550.06,11.927,1.8989,64.574,133.36
15278,12.501,1007.9,87.732,4.0717,31.851,1099.8,532.47,13.743,0.56545,70.051,158.51
12881,22.879,1008.7,72.877,3.3311,20.774,1062.4,550.12,10.709,2.1214,59.902,112.5
20367,27.744,1010.1,76.796,5.4362,26.452,1094.4,549.63,12.211,1.8609,64.491,134.31
35590,18.297,1020.1,88.94,4.4751,24.74,1079.8,550.07,11.866,1.8086,56.627,130.55
4247,31.324,1009.3,55.082,4.4713,26.483,1094.6,550.02,12.296,1.4569,77.057,133.8
11481,26.904,1006.3,63.588,3.9681,25.721,1092.4,550.39,12.069,0.1205,67.282,133.73
1877,18.406,988.82,61.682,4.628,24.092,1079.7,550.07,11.577,1.9242,78.674,129.0
27622,27.645,1006.8,64.506,4.649,29.802,1100.1,545.69,13.189,1.3752,49.497,147.27
24584,18.577,1014.2,74.992,3.6727,27.14,1092.8,549.88,12.547,2.7686,61.039,141.06
7647,5.388,1014.3,90.459,3.63,24.064,1084.8,549.11,11.814,0.52213,82.137,134.26
15354,7.5164,1022.4,96.785,3.0349,24.078,1085.8,549.97,11.902,1.989,81.637,134.2
24115,20.842,1016.2,46.0,3.5964,31.277,1083.7,550.4,12.117,3.268,62.192,133.2
24757,17.274,1008.6,75.9,2.7119,19.557,1049.5,549.94,10.386,4.4595,56.686,110.35
6017,21.368,1021.2,79.015,4.2917,25.098,1089.8,550.08,12.081,1.7256,63.986,132.85
32413,18.013,1012.6,96.97,3.6059,22.694,1065.6,549.74,11.239,3.1802,58.316,122.13
28998,13.111,1008.8,84.121,3.3111,23.65,1074.8,549.75,11.74,2.6886,56.16,130.03
4948,25.972,1014.2,64.043,3.4744,20.037,1058.5,550.04,10.592,3.7636,52.753,109.56
31951,19.744,1007.5,81.933,3.8146,25.467,1082.3,550.19,12.05,1.597,61.153,134.26
27984,16.549,1019.9,73.503,3.2831,23.992,1077.7,550.33,11.859,2.1942,51.152,130.15
29834,13.184,1004.9,96.528,3.3769,23.953,1070.8,549.9,11.624,0.027292,56.798,129.12
20077,26.719,1011.8,81.849,5.0829,26.334,1094.0,550.07,12.279,1.1376,62.489,134.24
7916,6.5279,1015.4,93.405,3.8144,24.117,1086.4,549.68,12.021,0.25495,78.067,134.21
33636,25.04,1009.4,82.897,3.9868,25.015,1077.8,550.39,11.857,1.9434,49.624,128.07
21928,7.6544,1020.9,80.416,3.098,23.99,1083.4,550.03,11.836,1.3344,68.848,133.42
12700,24.324,1017.1,80.955,3.2883,20.262,1060.9,550.32,10.72,2.3664,53.394,111.33
9547,11.757,1009.4,85.057,4.3123,23.957,1084.9,550.31,11.928,1.1942,74.17,133.69
33499,27.953,1000.8,77.474,4.1116,25.562,1079.3,550.37,11.916,0.80294,43.877,128.25
15498,14.062,1009.4,89.324,3.328,26.596,1095.8,549.27,12.381,2.8532,89.796,142.3
19946,26.387,1013.9,57.432,4.8515,25.784,1092.5,549.78,12.171,1.594,67.764,133.47
22792,14.129,993.29,67.684,3.038,25.494,1061.7,550.17,10.984,4.1281,69.825,121.13
30729,8.3052,1014.3,96.73,3.6035,25.0,1078.9,550.14,11.878,0.92015,62.854,136.49
23337,8.5206,1019.7,80.151,2.8273,24.44,1051.8,547.12,10.806,6.9068,76.412,115.96
6262,14.243,1012.3,89.435,4.3235,24.56,1086.5,549.92,11.991,2.1562,67.506,133.79
21902,9.3857,1021.4,93.004,3.1605,24.3,1085.0,550.12,11.877,1.3705,68.935,133.73
18225,19.817,1010.5,77.474,3.6831,25.287,1089.4,550.2,12.135,2.2983,66.436,133.98
20250,30.419,1011.5,52.747,6.1261,30.721,1099.9,538.24,13.359,1.2536,57.161,148.55
26312,28.933,1004.6,62.555,4.2898,29.529,1100.0,547.59,13.06,1.8048,55.116,145.37
8881,6.8998,1023.4,82.083,4.2331,23.768,1087.2,550.22,11.919,2.0787,85.404,133.67
6615,15.953,1022.0,85.602,4.3983,24.661,1089.4,549.84,12.003,1.1183,62.227,134.78
4176,29.962,1008.9,41.129,4.4162,26.799,1096.7,550.23,12.492,0.96335,73.094,134.83
10037,13.861,1006.9,95.929,3.0213,19.066,1054.4,550.02,10.285,3.6523,69.264,110.74
316,4.6504,1010.8,84.987,4.1532,23.886,1085.0,550.16,11.922,1.2555,82.001,135.55
23542,1.5956,1016.4,78.736,3.393,24.707,1084.0,549.89,12.096,3.0518,75.121,137.98
10827,22.148,1014.0,86.256,3.6507,24.986,1089.2,550.07,12.044,0.86592,58.518,133.68
6633,19.068,1020.0,79.13,4.3217,24.774,1089.2,550.01,11.973,0.85981,62.074,133.62
3719,32.817,1009.5,47.566,4.4115,26.916,1096.7,549.67,12.316,1.1454,66.944,133.81
10400,16.193,1012.6,89.388,3.5646,24.19,1085.8,550.24,11.704,1.2002,64.09,132.74
7655,5.9776,1012.5,90.679,3.5983,23.447,1082.3,550.02,11.622,0.76573,82.3,130.63
10481,22.059,1014.3,77.748,4.4371,30.793,1100.0,536.14,13.58,0.85752,58.853,152.78
17632,17.312,1025.0,75.042,3.408,24.571,1087.7,549.89,11.983,2.3487,73.759,132.55
20310,22.52,1010.5,92.91,5.1924,25.686,1092.5,549.81,12.26,1.6441,59.654,135.39
31268,11.847,1014.0,92.055,3.6503,25.23,1087.2,550.01,12.004,1.2618,62.105,134.54
36188,13.099,1006.4,85.557,3.0124,25.012,1082.5,549.78,11.958,1.0915,61.545,136.29
2194,25.352,1003.3,58.105,5.1999,25.711,1089.6,549.55,11.939,1.0497,73.313,133.59
8376,4.9803,1022.6,86.743,3.8715,23.084,1082.7,549.97,11.752,1.1037,82.179,132.66
24098,17.129,1016.6,60.468,3.368,28.724,1082.7,550.0,11.965,4.4385,61.457,134.73
5757,21.98,1009.2,86.181,4.3957,25.559,1090.1,550.34,12.082,0.7108,62.363,133.78
31986,12.379,1020.9,96.774,3.7568,24.694,1080.5,549.99,11.97,1.7685,65.49,134.84
7756,5.9587,1024.7,88.759,3.4538,22.41,1079.2,550.03,11.652,0.78055,83.35,129.39
27742,21.762,1012.3,88.011,3.9859,25.184,1083.6,549.96,12.029,1.4932,44.296,133.44
24413,16.078,1014.1,70.921,3.432,25.919,1082.5,550.15,12.125,1.4349,58.334,134.6
29843,15.987,1008.2,83.359,3.5494,25.217,1078.1,549.93,11.873,1.6306,63.887,133.45
1402,8.4787,1016.8,85.128,4.8061,24.045,1084.3,550.04,11.792,1.1378,81.968,134.07
8278,5.4882,1021.4,76.644,3.7435,23.275,1083.9,549.87,11.813,1.3041,84.374,134.49
26500,28.593,1009.1,63.505,4.451,30.459,1099.9,543.97,13.302,2.1203,57.082,147.75
3493,21.539,1012.5,73.778,3.9736,25.19,1089.1,550.09,12.055,1.7733,64.83,133.55
1385,10.271,1013.8,85.698,4.2907,21.048,1060.6,546.73,10.889,3.4232,84.195,118.67
13097,28.04,1008.6,68.718,4.1127,26.028,1093.0,550.14,12.118,1.2226,62.534,133.79
21853,13.888,1006.6,99.933,4.1902,32.008,1100.3,534.4,13.615,1.5683,77.861,155.52
2292,21.339,1016.3,86.53,5.2632,25.201,1089.2,549.66,11.999,1.2697,65.112,133.27
2798,24.164,1008.4,66.243,3.9652,25.279,1088.3,549.96,11.983,1.6573,69.306,132.83
1958,12.418,1012.6,86.268,4.0716,19.403,1052.1,547.98,10.404,4.4464,74.554,110.9
14595,11.336,1022.5,91.457,3.6715,20.825,1062.3,547.59,10.89,3.7759,83.566,118.23
25031,17.9,1015.8,82.577,2.9568,20.612,1056.1,550.09,10.785,4.0007,53.36,114.71
6990,18.39,998.94,86.013,3.1325,24.774,1084.8,549.75,11.836,1.0873,70.773,132.11
32204,13.48,1010.8,91.518,3.7111,24.846,1079.1,549.8,11.946,2.1868,64.009,133.82
15998,7.9773,1013.8,94.232,3.0058,23.84,1083.7,550.04,11.761,1.4756,78.356,134.02
23196,11.917,1025.5,43.388,3.2533,24.415,1076.2,550.06,11.711,2.2051,69.479,130.86
10665,19.614,1010.1,90.58,3.6715,24.914,1089.0,549.75,12.033,0.84877,61.885,133.89
23024,1.425,1019.5,70.275,2.7867,20.971,1060.9,550.13,10.914,4.1917,84.918,120.2
34818,23.123,1004.1,99.96,5.1495,29.781,1100.0,547.19,13.036,1.6544,57.483,145.13
16662,14.404,1000.3,78.894,2.5846,19.049,1052.7,549.94,10.256,5.5247,78.193,108.93
7368,12.57,998.72,100.07,2.9904,24.372,1084.9,549.85,11.863,1.1849,72.285,134.08
15701,4.5648,1015.6,88.98,2.5735,19.263,1056.7,549.47,10.619,6.4126,114.49,112.33
16529,13.396,1014.4,77.035,4.0921,32.088,1099.9,532.06,13.789,1.6748,73.11,158.11
18825,28.152,1013.1,52.184,4.2672,26.139,1094.4,550.26,12.369,1.3566,67.914,134.4
19390,23.174,1011.1,85.348,3.5047,20.095,1059.3,549.95,10.641,3.6828,51.829,110.7
1909,20.459,1000.6,60.919,5.8349,30.027,1099.7,541.05,13.243,0.98269,74.169,149.19
5848,22.943,1009.6,58.701,4.4585,25.76,1091.8,550.39,12.175,0.96384,69.088,134.92
16754,7.6343,1019.5,86.584,3.1407,24.164,1085.9,550.05,11.831,2.9287,90.001,134.78
26632,27.656,1008.8,53.534,4.4089,30.425,1100.1,544.11,13.291,2.0463,57.719,149.06
28985,15.736,1005.1,90.003,3.6483,23.907,1076.4,549.84,11.739,2.0589,53.857,130.4
28972,17.102,1007.7,84.12,3.4321,24.03,1077.0,550.41,11.821,1.9808,41.303,130.36
18668,22.521,1003.3,74.431,3.9701,25.335,1089.1,549.56,12.081,5.4115,61.18,133.36
34942,28.265,1012.8,66.942,5.2678,30.098,1099.9,545.74,13.147,1.8021,56.323,146.23
12118,26.175,1005.4,87.269,4.0575,26.586,1094.1,548.68,12.445,0.37713,57.622,135.87
17943,17.904,1010.1,89.577,3.3804,23.508,1079.4,549.78,11.54,2.5844,64.054,127.03
27974,15.339,1019.1,80.088,3.2643,23.81,1077.3,550.03,11.813,2.2061,49.667,130.67
31638,13.632,1013.7,100.04,4.8433,25.236,1081.4,549.96,11.948,1.3029,63.649,135.39
15254,9.0001,1014.2,71.583,3.0638,23.456,1082.4,549.78,11.766,2.3944,81.63,132.74
31361,12.317,1012.6,90.859,3.6877,25.129,1087.1,550.2,12.0,1.3187,60.881,134.21
26911,28.506,1010.0,51.669,3.8829,25.353,1083.0,549.97,11.976,1.7266,57.336,130.51
257,5.3039,1020.6,88.786,4.2341,24.101,1087.0,549.78,11.911,1.4314,83.215,134.77
1184,17.327,1024.1,72.471,4.8407,24.757,1087.9,550.22,11.946,1.0348,74.521,132.99
34330,31.948,1005.1,70.653,4.1717,24.576,1074.6,549.94,11.676,1.5428,43.572,123.12
3927,23.145,1007.5,92.746,4.1918,24.957,1086.7,550.0,11.905,3.2234,64.345,131.5
24773,22.417,1012.1,55.282,3.7282,27.553,1095.0,550.39,12.67,2.1137,59.709,142.29
10380,13.096,1012.1,89.888,3.5436,24.2,1085.5,549.98,11.806,1.2483,71.446,133.68
7089,8.6473,1006.3,98.449,2.4212,20.316,1050.1,541.66,10.804,7.9529,89.891,115.84
14348,12.804,1028.6,83.19,5.3414,33.008,1100.1,526.42,14.225,0.86509,63.604,160.36
33861,31.085,1011.0,66.96,4.2638,25.69,1081.3,550.49,11.898,2.1605,49.613,128.43
21122,18.892,1020.8,69.647,4.0864,31.796,1100.0,534.86,13.572,1.1731,72.64,153.49
33588,29.217,1005.4,57.884,4.1968,25.954,1082.6,549.82,11.991,1.5744,56.287,129.86
26410,29.782,1013.5,56.939,4.4225,30.314,1100.0,543.76,13.302,1.712,53.32,148.53
18620,20.705,1012.0,86.452,3.7523,24.134,1083.3,550.08,11.791,2.5693,60.958,129.39
18772,28.564,1011.7,60.13,4.1034,25.719,1091.4,549.59,12.078,7.6754,66.327,132.17
7817,8.2064,1021.4,93.097,3.62,23.612,1083.4,549.85,11.781,0.95038,79.632,133.68
134,15.794,990.87,77.336,4.2299,23.861,1074.6,545.86,11.493,6.6815,81.353,128.52
15404,11.996,999.93,94.916,3.2163,24.348,1085.0,550.14,11.83,2.6308,79.314,134.21
20820,20.792,1021.1,77.914,3.6442,28.333,1100.0,546.34,12.846,0.66015,101.69,143.53
32212,21.925,1012.6,60.085,3.8343,25.293,1081.3,550.13,12.055,1.8743,63.264,132.31
25381,20.255,1004.4,61.419,4.1443,30.027,1100.1,545.03,13.234,1.6905,60.397,149.21
31192,9.7845,1018.0,67.011,3.5118,24.463,1083.8,550.06,11.785,1.3515,64.472,132.65
33868,30.208,1010.5,67.372,4.2256,25.721,1081.5,550.12,12.056,1.6428,49.593,128.56
34352,29.806,1002.9,70.179,4.9713,29.921,1099.9,547.67,13.049,1.2152,54.77,144.63
30411,7.2297,1021.3,88.22,2.8233,18.995,1034.4,543.65,10.325,7.8851,95.635,107.35
4851,26.991,1015.3,45.893,4.4562,26.208,1095.0,549.94,12.314,0.41655,72.709,134.73
12711,25.006,1016.1,71.117,3.929,25.572,1091.7,550.43,12.122,1.4019,74.956,133.97
7424,4.5552,1013.4,94.488,3.0889,23.706,1084.3,550.22,11.833,1.4462,82.135,133.93
31906,22.926,1009.1,70.587,3.8072,25.957,1084.1,549.98,12.183,1.7384,60.966,134.85
29608,9.4994,1019.0,92.398,3.3779,25.204,1078.0,549.61,12.029,0.73801,66.206,135.81
12805,19.642,1012.3,84.182,3.8301,24.884,1089.1,550.1,11.975,0.71674,60.659,133.69
21067,14.002,1022.9,97.709,3.1947,24.771,1080.5,549.82,12.033,1.1709,62.145,134.34
30056,9.0215,1027.5,81.255,3.3898,24.322,1077.0,550.04,11.926,4.4731,66.666,134.18
30937,14.311,1017.2,84.53,3.5818,25.099,1078.7,550.54,11.987,1.6194,59.85,133.48
7333,10.749,1008.5,96.722,2.8381,23.75,1083.7,549.94,11.775,1.9479,76.439,133.55
27400,21.087,1017.5,79.302,3.7322,24.134,1077.7,549.85,11.839,1.8959,52.264,129.05
29991,8.3002,1004.3,91.388,3.6896,28.084,1094.9,549.98,12.669,0.90955,81.474,149.54
1942,16.788,1005.0,92.945,6.1476,31.171,1099.9,536.72,13.501,1.3183,69.87,153.71
4079,32.435,1005.1,45.399,4.4361,26.918,1096.3,549.66,12.342,1.2516,70.198,133.86
16091,7.2769,1013.1,92.032,2.9901,23.768,1083.9,549.59,11.834,2.736,84.212,134.84
7917,8.7447,1015.2,92.274,3.8508,24.25,1086.7,550.07,11.913,0.4262,77.246,133.68
32381,23.604,1011.9,71.214,4.6794,31.707,1099.9,540.97,13.438,1.3209,58.3,152.63
27054,27.597,1018.0,37.289,3.5887,23.634,1074.1,550.11,11.533,2.1991,52.513,124.25
26812,27.669,1007.1,66.394,4.4754,30.131,1099.9,545.09,13.217,1.4142,56.971,147.18
28735,8.2613,1018.0,79.118,3.2547,23.583,1075.4,550.2,11.736,2.9592,63.463,131.46
12076,29.703,1013.9,56.033,4.5604,30.125,1099.8,539.81,13.264,0.2437,56.533,147.24
8246,7.0567,1016.6,75.625,3.7628,23.322,1083.4,550.07,11.881,2.4273,86.329,133.67
23432,9.2648,1018.2,87.042,3.1354,25.439,1069.7,549.84,11.446,3.9978,68.662,126.59
15255,9.2488,1013.9,70.332,3.1009,23.685,1083.9,549.8,11.806,1.9878,81.323,133.53
34206,31.232,1011.1,66.526,4.7621,28.426,1092.3,547.12,12.656,2.148,43.905,138.1
24073,16.069,1018.3,63.007,3.4442,31.259,1085.8,550.36,12.145,4.2159,64.238,137.47
14279,9.6752,1024.6,68.944,3.7831,22.911,1075.3,546.37,11.627,7.351,86.316,129.76
31555,19.511,1005.0,69.299,3.742,25.575,1082.3,550.0,12.065,1.6769,66.209,134.66
14005,9.6627,1028.8,81.456,3.7599,23.422,1084.7,549.94,11.826,1.656,79.187,133.29
6316,19.926,1006.9,94.433,4.5088,25.272,1089.4,550.32,11.97,2.0613,63.96,133.71
29131,12.487,1032.9,55.058,4.4594,32.353,1100.0,533.82,13.993,3.6214,50.536,158.55
17656,19.312,1023.4,82.727,3.4707,24.733,1088.2,549.98,12.064,1.4174,66.723,132.25
9393,11.006,1017.5,92.533,4.5116,23.947,1084.6,549.91,11.787,1.298,77.17,133.09
25992,21.897,1010.2,75.393,4.3487,30.616,1100.0,543.26,13.282,0.77126,50.439,148.75
35840,16.636,1016.8,80.709,3.2198,27.769,1073.5,534.15,12.62,5.3741,50.452,138.56
8905,5.2569,1027.5,78.067,4.0652,23.311,1085.2,550.04,11.773,2.1611,88.022,133.68
29517,8.9031,1028.2,81.203,3.7686,26.245,1092.2,549.97,12.569,2.7701,62.566,144.08
28466,9.8597,1017.3,86.551,3.2757,23.331,1075.5,549.61,11.768,2.6056,58.938,131.1
4462,26.664,1011.5,60.443,4.3671,26.242,1093.9,550.35,12.266,4.4068,75.825,134.76
31100,14.766,1014.9,90.392,3.7233,25.462,1087.7,550.12,12.031,0.93278,58.765,134.23
17270,9.8276,1009.9,88.015,3.2452,23.882,1084.3,549.95,11.883,2.6918,75.92,133.72
4673,33.097,1014.1,45.571,4.8309,29.078,1099.9,544.33,12.917,0.42855,64.651,140.37
19808,25.967,1008.9,79.55,4.8509,26.034,1092.7,549.99,12.203,1.6156,60.624,134.49
10887,24.576,1012.5,71.695,3.8873,26.316,1095.9,550.16,12.262,0.28193,68.143,136.91
6229,25.075,1004.9,62.889,4.503,25.884,1091.7,550.23,12.219,0.64862,64.439,133.88
3249,29.282,1012.2,64.651,4.1227,26.046,1091.7,550.45,12.174,1.6033,60.457,132.86
7024,7.2254,1003.6,96.32,2.6832,23.669,1083.4,550.2,11.707,1.6164,75.071,134.6
15878,10.937,1003.1,100.14,3.3036,24.317,1084.3,550.11,11.829,3.0298,78.235,133.95
24054,10.891,1019.4,81.17,3.4753,25.247,1085.4,549.96,12.241,2.7334,63.107,138.16
3488,28.62,1013.1,42.046,4.1693,25.943,1092.3,550.02,12.182,1.2698,69.533,132.8
3912,29.8,1009.3,64.089,4.3479,26.296,1093.6,550.08,12.156,1.5104,70.139,133.49
6226,24.596,1006.9,61.142,4.4306,24.96,1087.8,550.05,11.931,0.75746,62.135,130.77
26823,28.75,1008.7,67.784,4.4509,29.878,1100.0,545.66,13.142,1.6111,53.03,146.81
32552,20.247,1007.2,89.851,3.773,23.888,1072.2,550.4,11.572,1.7055,54.564,126.69
35950,8.0786,1024.1,80.422,2.5344,21.392,1063.8,550.17,11.182,2.5623,72.692,122.56
24410,19.565,1014.4,62.652,3.4905,27.031,1084.4,550.02,12.168,2.8828,58.351,135.03
17824,22.828,1010.2,80.626,3.5623,25.059,1087.5,550.28,11.871,1.8714,63.266,131.29
3499,18.82,1010.7,83.764,3.433,20.973,1064.4,549.91,10.91,4.7941,62.483,116.11
20654,23.188,1012.2,71.109,6.7504,31.115,1100.0,536.71,13.504,1.3644,66.679,150.7
6415,21.067,1008.6,88.751,3.751,19.976,1058.4,550.22,10.505,5.0801,56.018,110.82
